order_id,order_date,delivery_zone,distance_km,traffic_level,package_weight_kg,order_hour,delivery_minutes,transport_cost,on_time
ORD00000,2026-07-23,South,7.37,Medium,2.01,12,50.4,93.93,True
ORD00001,2026-06-28,Central,1.52,Medium,2.47,18,28.5,68.62,True
ORD00002,2026-07-05,West,10.32,Low,2.8,12,67.6,93.43,False
ORD00003,2026-07-24,East,9.1,Low,2.69,13,64.9,89.47,False
ORD00004,2026-06-01,North,11.74,Medium,3.34,16,64.6,109.95,True
ORD00005,2026-06-03,North,6.59,Low,3.49,8,41.7,87.35,True
ORD00006,2026-07-13,North,13.48,Medium,3.55,19,100.2,127.72,False
ORD00007,2026-07-20,Central,3.19,Low,4.19,17,16.6,76.31,True
ORD00008,2026-06-07,West,10.94,Medium,1.38,13,77.6,99.0,False
ORD00009,2026-06-09,West,8.76,High,1.43,8,64.0,82.28,True
ORD00010,2026-07-06,North,1.73,Low,5.08,13,29.0,53.41,True
ORD00011,2026-06-23,Central,6.65,Medium,1.79,9,45.2,82.15,True
ORD00012,2026-06-24,Central,6.21,Low,2.27,15,40.9,91.47,True
ORD00013,2026-06-10,North,8.16,Medium,2.11,18,80.3,91.34,False
ORD00014,2026-07-20,North,9.2,Medium,10.0,10,59.5,125.11,True
ORD00015,2026-07-25,North,10.55,Medium,1.19,17,63.2,91.19,True
ORD00016,2026-07-18,South,5.31,Medium,1.17,13,57.6,86.98,True
ORD00017,2026-06-12,East,6.41,High,2.48,13,52.2,60.97,True
ORD00018,2026-06-19,East,10.38,Low,2.16,11,52.7,104.33,True
ORD00019,2026-07-02,South,6.24,Low,0.89,12,30.5,83.16,True
ORD00020,2026-06-24,West,11.88,High,2.33,9,99.7,114.61,False
ORD00021,2026-06-22,North,4.93,Medium,2.53,17,42.5,65.88,True
ORD00022,2026-06-03,South,11.4,High,1.65,17,81.9,117.45,False
ORD00023,2026-07-10,South,9.89,Medium,2.22,15,43.6,90.5,True
ORD00024,2026-06-27,East,3.15,High,1.29,17,29.5,35.03,True
ORD00025,2026-06-19,Central,7.49,Medium,0.89,14,43.2,86.69,True
ORD00026,2026-06-09,North,6.8,Medium,1.78,17,59.4,69.71,True
ORD00027,2026-07-29,East,5.57,High,1.03,13,64.4,72.11,True
ORD00028,2026-07-21,East,8.6,Medium,0.73,14,38.4,87.5,True
ORD00029,2026-07-19,North,12.45,Low,0.35,19,74.9,115.5,False
ORD00030,2026-06-13,West,7.95,Low,2.95,8,31.7,91.36,True
ORD00031,2026-06-02,North,9.19,Low,1.73,12,45.0,103.59,True
ORD00032,2026-07-06,North,10.29,Low,5.1,14,57.2,109.84,True
ORD00033,2026-06-29,Central,6.08,Low,1.85,8,42.4,86.66,True
ORD00034,2026-06-11,Central,4.53,Medium,2.94,9,40.7,57.18,True
ORD00035,2026-07-04,Central,2.9,Medium,1.46,16,43.7,69.05,True
ORD00036,2026-06-04,South,7.52,Medium,2.42,19,64.4,113.65,True
ORD00037,2026-06-04,North,9.26,Medium,0.36,10,55.3,92.99,True
ORD00038,2026-07-22,West,7.78,Low,1.76,13,42.1,106.82,True
ORD00039,2026-06-01,East,0.5,Low,1.19,14,24.8,60.19,True
ORD00040,2026-06-25,North,10.31,Low,4.76,16,40.0,113.15,True
ORD00041,2026-06-26,East,10.71,Medium,2.8,12,96.6,111.96,False
ORD00042,2026-06-11,North,1.91,Low,4.31,11,32.8,50.76,True
ORD00043,2026-06-23,Central,0.97,Low,5.49,18,47.7,50.37,True
ORD00044,2026-06-02,South,11.86,Medium,1.64,19,89.0,116.76,False
ORD00045,2026-06-19,West,17.17,High,2.71,9,118.8,133.37,False
ORD00046,2026-06-29,South,10.06,Low,0.94,10,46.0,109.37,True
ORD00047,2026-07-10,East,5.82,Medium,3.26,12,52.1,83.5,True
ORD00048,2026-07-25,East,7.45,Medium,3.61,18,54.0,101.77,True
ORD00049,2026-07-22,North,13.12,High,3.11,20,78.2,126.19,False
ORD00050,2026-06-04,Central,2.06,High,1.64,9,29.5,58.36,True
ORD00051,2026-07-27,West,8.6,Low,7.79,20,50.7,121.61,True
ORD00052,2026-06-16,Central,2.55,Low,2.53,11,17.3,63.3,True
ORD00053,2026-07-17,Central,1.14,High,0.94,8,15.0,52.18,True
ORD00054,2026-07-07,East,8.37,Medium,3.85,11,54.3,85.38,True
ORD00055,2026-06-27,Central,8.87,Medium,4.85,14,48.5,99.61,True
ORD00056,2026-06-05,North,9.97,Medium,0.96,19,77.0,126.61,False
ORD00057,2026-06-15,North,8.24,Medium,2.03,10,43.0,94.59,True
ORD00058,2026-06-23,North,8.12,High,0.65,17,62.0,64.94,True
ORD00059,2026-07-19,South,5.31,High,5.63,15,40.9,67.63,True
ORD00060,2026-06-03,South,12.65,Medium,2.31,13,82.0,121.02,False
ORD00061,2026-06-18,South,9.77,Low,1.2,13,41.2,92.25,True
ORD00062,2026-07-13,Central,3.46,High,4.89,8,37.9,63.34,True
ORD00063,2026-06-26,South,19.58,Low,2.47,12,117.1,189.16,False
ORD00064,2026-06-06,South,10.9,Low,4.45,10,65.9,115.09,True
ORD00065,2026-07-29,East,5.74,High,3.41,17,52.6,91.51,True
ORD00066,2026-07-14,North,7.72,Low,1.06,8,24.9,87.64,True
ORD00067,2026-07-24,Central,7.45,Low,1.6,15,47.3,81.58,True
ORD00068,2026-07-28,North,9.34,Low,1.23,14,48.0,82.17,True
ORD00069,2026-06-17,Central,0.5,High,0.88,14,15.4,46.18,True
ORD00070,2026-07-16,West,13.76,Medium,0.49,19,105.3,93.35,False
ORD00071,2026-07-08,North,7.0,Medium,8.82,17,58.7,122.96,True
ORD00072,2026-07-12,North,14.62,Low,3.07,17,80.9,139.74,False
ORD00073,2026-07-18,Central,7.24,High,3.4,17,46.9,98.76,True
ORD00074,2026-07-20,West,9.66,High,5.27,11,62.7,115.0,True
ORD00075,2026-06-27,West,14.84,Low,1.58,20,55.0,118.3,True
ORD00076,2026-06-20,West,11.2,Medium,0.7,18,78.7,110.58,False
ORD00077,2026-06-06,North,11.56,Low,4.18,13,84.1,132.87,False
ORD00078,2026-07-21,South,11.45,High,0.82,20,73.2,102.15,False
ORD00079,2026-07-05,North,6.46,Medium,4.11,16,41.6,97.15,True
ORD00080,2026-06-12,Central,2.07,High,0.6,10,30.3,49.53,True
ORD00081,2026-07-18,West,14.09,Low,0.77,16,67.7,130.22,True
ORD00082,2026-06-03,South,9.0,High,1.45,11,47.6,84.25,True
ORD00083,2026-07-18,North,7.79,High,4.01,12,87.1,112.86,False
